Category,Sub Category 1,Sub Category 2,Weight,Jul-24,Jun-24,May-24,Apr-24,Mar-24,Feb-24,Jan-24,Dec-23,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23
Headline,,,100.0,0.0015492782280090774,-0.0005618964003513275,5.746997991752772e-05,0.0031291035454632013,0.0037806940274037457,0.004420620953549482,0.003054330152684065,0.002330987195802982,0.0016030904201527487,0.0007907890968732752,0.0035958417568348723,0.00511771734705945,0.002055900764137196,0.0021030771512863277,0.0010988938461945499,0.004268519009491337,0.0007794128865142122,0.0038387779834596946
Food + Energy,,,20.21,0.0012115641312694316,-0.005093685062893577,-0.005751907797287887,0.0038287578222515857,0.004410038081918632,0.007548367302789395,-0.00043108305222214075,0.0006525352430080312,-0.004081213127894134,-0.0050359771992093015,0.0051978660717443,0.015871994062250767,0.0012275382508882327,0.0026541037128704472,-0.008187739243795629,0.002761828677389671,-0.008202415691595936,0.0005911311736799044
,Food,,13.555,0.0016761485287820452,0.0024129779581974647,0.001372403333067253,0.00018732054845010815,0.0010051703256505886,0.00016294406099640993,0.003814473395899719,0.0020193211617436668,0.0015609901137291628,0.0029634875962201795,0.0021012131003633116,0.002274471629944355,0.001935009925131772,0.0015654596972400946,0.0023442795812305653,0.0004992323125760973,0.0010403635929316893,0.0030581232581309106
,,At home,8.167,0.0012570998314046277,0.0013210429355342951,-2.9501329198824377e-05,-0.002015133126367773,-4.252535165187049e-05,-0.00028778107708615867,0.003679427046578848,0.0013870400499596332,0.00022684235442644004,0.0025048118754449037,0.0006826974133353352,0.0018635695286557564,0.0020362215673939976,0.00039084236466253413,0.0008055186313475863,-0.0016249669049511592,-0.0016817050969869982,0.0017210051994214174
,,Away Home,5.388,0.002080756125615806,0.004132400251703208,0.003515457351160296,0.0034755558969238338,0.0026127900196921544,0.0009552675988095768,0.004660309101569853,0.0032770691181327645,0.00434474840032988,0.0037371883811484936,0.003945709286879667,0.0034407741600960473,0.0017417324168302124,0.003834034208766446,0.004711918163519142,0.0036948768945888667,0.0059648890818094985,0.006341179771867978
,Energy,,6.655,0.0002652919286723655,-0.02038336458969885,-0.020262807477522887,0.011245689790152264,0.011345121843934158,0.02259110389820696,-0.009078493668945177,-0.002131354032493327,-0.015573334080591921,-0.02132940248877303,0.011505173513828343,0.04356762389995376,-0.00021345026066265786,0.004871469547862097,-0.029639507113552212,0.007370317591746994,-0.027028241867669865,-0.004433673890893106
Core,,,79.79,0.0016522902753608039,0.0006475136732256783,0.0016308693982154015,0.0029176060474017363,0.003590385499025498,0.0035841723964661065,0.003923897461439438,0.0027533304092537954,0.0030797392337583197,0.0024014627676696826,0.003190637352416874,0.002301380504620605,0.0022709208584080474,0.0019470430299759773,0.003611286002759935,0.004676971079472338,0.003248674882613669,0.00467445632604257
,Commodities,,18.891,-0.00091652307805114,0.00038508792841042183,-0.0011783237276546598,0.0004092227821041825,-0.0003907466313366157,0.0006475932137118365,0.0007581362077292917,-0.0015688333251941509,-0.004430398979002614,0.0002613949982369694,-0.00012764172790422364,0.0003222472183376742,-0.00160258355894964,-0.00012139310729925715,0.00019426670390101057,0.0005527513044323863,0.0030585697835239936,0.0035340658265617638
,Services,,60.899,0.0030966079160645046,0.001307186395632135,0.002193072400340642,0.004130509566793225,0.00524807185109594,0.004572387574065898,0.006612111615399208,0.0038440811039311155,0.004586871167777119,0.0033588904697712646,0.005224966623834855,0.003771336335317056,0.004262098881704145,0.003087404705822744,0.0033416769373467285,0.004751643031859728,0.0037983248413519443,0.006152878133816136
,,Shelter,36.191,0.003789300856472121,0.001702321826573704,0.004024990686388148,0.0037799541149954544,0.004176329397197889,0.004265489792382197,0.006341367099254097,0.0040705667897361995,0.004455938449602413,0.003386355969587687,0.005702206505995804,0.0034961372266596293,0.004783807679353424,0.004143062484146401,0.005392711604158956,0.004842240136671884,0.005254090838346885,0.007197316749504604
,,Supercore,24.708,0.0020819871371146885,0.000728412460825339,-0.0004902267210105504,0.004643985054732886,0.006817904745260761,0.005021915565684596,0.007008684174238763,0.0035123365898072773,0.004778654638857772,0.0033186604267141113,0.0045259303369930655,0.004174433750786577,0.003497926828291281,0.0015411318122129224,0.00033742747860456647,0.004618941080254713,0.0016659941307625027,0.004623038489151195
